grey true_pos true_neg false_pos false_neg
0 0 12398 0 3986
1 0 12398 0 3986
2 0 12398 0 3986
3 0 12398 0 3986
4 0 12398 0 3986
5 0 12398 0 3986
6 2 12398 0 3984
7 3 12398 0 3983
8 3 12398 0 3983
9 7 12398 0 3979
10 11 12398 0 3975
11 13 12398 0 3973
12 16 12398 0 3970
13 23 12398 0 3963
14 26 12398 0 3960
15 36 12398 0 3950
16 45 12398 0 3941
17 52 12398 0 3934
18 66 12398 0 3920
19 73 12398 0 3913
20 86 12398 0 3900
21 94 12398 0 3892
22 110 12398 0 3876
23 119 12398 0 3867
24 131 12398 0 3855
25 150 12398 0 3836
26 163 12398 0 3823
27 182 12398 0 3804
28 194 12398 0 3792
29 209 12398 0 3777
30 228 12398 0 3758
31 241 12398 0 3745
32 263 12398 0 3723
33 274 12398 0 3712
34 287 12398 0 3699
35 308 12398 0 3678
36 330 12398 0 3656
37 341 12396 2 3645
38 355 12396 2 3631
39 370 12396 2 3616
40 399 12396 2 3587
41 419 12394 4 3567
42 441 12390 8 3545
43 459 12389 9 3527
44 485 12386 12 3501
45 510 12380 18 3476
46 525 12377 21 3461
47 547 12370 28 3439
48 570 12364 34 3416
49 599 12358 40 3387
50 635 12348 50 3351
51 661 12334 64 3325
52 696 12325 73 3290
53 724 12314 84 3262
54 746 12304 94 3240
55 785 12292 106 3201
56 823 12273 125 3163
57 858 12258 140 3128
58 894 12250 148 3092
59 923 12240 158 3063
60 958 12226 172 3028
61 1003 12208 190 2983
62 1044 12200 198 2942
63 1083 12184 214 2903
64 1123 12170 228 2863
65 1163 12155 243 2823
66 1200 12145 253 2786
67 1241 12115 283 2745
68 1284 12091 307 2702
69 1334 12081 317 2652
70 1377 12067 331 2609
71 1422 12060 338 2564
72 1468 12032 366 2518
73 1509 12014 384 2477
74 1552 11994 404 2434
75 1593 11974 424 2393
76 1646 11950 448 2340
77 1675 11934 464 2311
78 1710 11906 492 2276
79 1748 11882 516 2238
80 1782 11860 538 2204
81 1829 11838 560 2157
82 1864 11813 585 2122
83 1905 11787 611 2081
84 1944 11764 634 2042
85 1984 11739 659 2002
86 2027 11719 679 1959
87 2067 11691 707 1919
88 2105 11666 732 1881
89 2139 11644 754 1847
90 2183 11620 778 1803
91 2221 11588 810 1765
92 2260 11554 844 1726
93 2291 11529 869 1695
94 2334 11515 883 1652
95 2377 11497 901 1609
96 2416 11469 929 1570
97 2461 11449 949 1525
98 2492 11426 972 1494
99 2540 11409 989 1446
100 2569 11387 1011 1417
101 2607 11361 1037 1379
102 2631 11346 1052 1355
103 2664 11336 1062 1322
104 2697 11313 1085 1289
105 2730 11290 1108 1256
106 2760 11267 1131 1226
107 2786 11242 1156 1200
108 2814 11225 1173 1172
109 2844 11205 1193 1142
110 2882 11190 1208 1104
111 2909 11177 1221 1077
112 2943 11157 1241 1043
113 2975 11140 1258 1011
114 3011 11126 1272 975
115 3038 11112 1286 948
116 3064 11102 1296 922
117 3091 11088 1310 895
118 3116 11079 1319 870
119 3148 11069 1329 838
120 3170 11063 1335 816
121 3200 11058 1340 786
122 3220 11054 1344 766
123 3237 11047 1351 749
124 3251 11042 1356 735
125 3266 11035 1363 720
126 3289 11031 1367 697
127 3315 11028 1370 671
128 3343 11016 1382 643
129 3360 11008 1390 626
130 3381 11003 1395 605
131 3402 10993 1405 584
132 3417 10990 1408 569
133 3432 10983 1415 554
134 3446 10978 1420 540
135 3454 10968 1430 532
136 3468 10965 1433 518
137 3482 10958 1440 504
138 3497 10951 1447 489
139 3507 10938 1460 479
140 3524 10934 1464 462
141 3542 10925 1473 444
142 3560 10920 1478 426
143 3579 10916 1482 407
144 3594 10907 1491 392
145 3603 10903 1495 383
146 3615 10896 1502 371
147 3624 10883 1515 362
148 3632 10874 1524 354
149 3640 10865 1533 346
150 3657 10860 1538 329
151 3669 10854 1544 317
152 3684 10845 1553 302
153 3698 10837 1561 288
154 3709 10833 1565 277
155 3717 10826 1572 269
156 3722 10818 1580 264
157 3723 10813 1585 263
158 3728 10804 1594 258
159 3734 10800 1598 252
160 3740 10795 1603 246
161 3745 10784 1614 241
162 3756 10776 1622 230
163 3760 10763 1635 226
164 3767 10743 1655 219
165 3774 10729 1669 212
166 3780 10724 1674 206
167 3784 10711 1687 202
168 3788 10704 1694 198
169 3795 10691 1707 191
170 3806 10681 1717 180
171 3810 10673 1725 176
172 3814 10664 1734 172
173 3818 10649 1749 168
174 3823 10639 1759 163
175 3827 10628 1770 159
