N Q bpp PSNR
1 10 8 48.3113
1 20 8 48.3113
1 30 8 48.3113
1 40 8 48.3113
1 50 8 48.3113
1 60 8 48.3113
1 70 8 48.3113
1 80 8 48.3113
1 90 8 48.3113
1 100 8 48.3113
2 10 8 41.1382
2 20 8 41.1382
2 30 8 41.1382
2 40 8 41.1382
2 50 8 41.1382
2 60 8 41.1382
2 70 8 41.1382
2 80 8 41.1382
2 90 8 41.1382
2 100 8 41.1382
3 10 8 39.1425
3 20 8 39.1425
3 30 8 39.1425
3 40 8 39.1425
3 50 8 39.1425
3 60 8 39.1425
3 70 8 39.1425
3 80 8 39.1425
3 90 8 39.1425
3 100 8 39.1425
4 10 8 28.9904
4 20 8 28.9904
4 30 8 28.9904
4 40 8 28.9904
4 50 8 28.9904
4 60 8 28.9904
4 70 8 28.9904
4 80 8 28.9904
4 90 8 28.9904
4 100 8 28.9904
5 10 8 28.7139
5 20 8 28.7139
5 30 8 28.7139
5 40 8 28.7139
5 50 8 28.7139
5 60 8 28.7139
5 70 8 28.7139
5 80 8 28.7139
5 90 8 28.7139
5 100 8 28.7139
6 10 8 22.7813
6 20 8 22.7813
6 30 8 22.7813
6 40 8 22.7813
6 50 8 22.7813
6 60 8 22.7813
6 70 8 22.7813
6 80 8 22.7813
6 90 8 22.7813
6 100 8 22.7813
