N Q bpp PSNR
1 10 7.30609 48.3113
1 20 7.30609 48.3113
1 30 7.30609 48.3113
1 40 7.30609 48.3113
1 50 7.30609 48.3113
1 60 7.30609 48.3113
1 70 7.30609 48.3113
1 80 7.30609 48.3113
1 90 7.30609 48.3113
1 100 7.30609 48.3113
2 10 7.46667 41.1382
2 20 7.46667 41.1382
2 30 7.46667 41.1382
2 40 7.46667 41.1382
2 50 7.46667 41.1382
2 60 7.46667 41.1382
2 70 7.46667 41.1382
2 80 7.46667 41.1382
2 90 7.46667 41.1382
2 100 7.46667 41.1382
3 10 7.54413 39.1425
3 20 7.54413 39.1425
3 30 7.54413 39.1425
3 40 7.54413 39.1425
3 50 7.54413 39.1425
3 60 7.54413 39.1425
3 70 7.54413 39.1425
3 80 7.54413 39.1425
3 90 7.54413 39.1425
3 100 7.54413 39.1425
4 10 7.59256 28.9904
4 20 7.59256 28.9904
4 30 7.59256 28.9904
4 40 7.59256 28.9904
4 50 7.59256 28.9904
4 60 7.59256 28.9904
4 70 7.59256 28.9904
4 80 7.59256 28.9904
4 90 7.59256 28.9904
4 100 7.59256 28.9904
5 10 7.62419 28.7139
5 20 7.62419 28.7139
5 30 7.62419 28.7139
5 40 7.62419 28.7139
5 50 7.62419 28.7139
5 60 7.62419 28.7139
5 70 7.62419 28.7139
5 80 7.62419 28.7139
5 90 7.62419 28.7139
5 100 7.62419 28.7139
6 10 7.64646 22.7813
6 20 7.64646 22.7813
6 30 7.64646 22.7813
6 40 7.64646 22.7813
6 50 7.64646 22.7813
6 60 7.64646 22.7813
6 70 7.64646 22.7813
6 80 7.64646 22.7813
6 90 7.64646 22.7813
6 100 7.64646 22.7813
